Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,WAR,playerid
Jackie Hayes,- - -,300,1191,10,106,81,0,3.3 %,11.3 %,.098,.267,.233,.260,.331,.269,88,0.8,1005527
Bill Fahey,- - -,334,1032,7,75,83,9,7.2 %,8.9 %,.055,.259,.241,.296,.296,.269,69,1.8,1003897
Kid Carsey,- - -,327,1156,2,131,101,17,7.9 %,12.3 %,.043,.239,.213,.281,.256,.269,55,-2.0,1002008
Mike Lehane,Solons,277,1106,1,113,108,29,7.0 %,14.1 %,.057,.252,.213,.272,.270,.269,69,1.3,1007483
Chief Bender,- - -,506,1274,6,102,116,20,5.9 %,15.3 %,.068,.234,.212,.266,.280,.269,68,3.4,1000827
Andy Allanson,- - -,486,1634,16,145,139,23,5.3 %,13.6 %,.070,.270,.240,.283,.310,.269,62,0.0,1000130
Elton Chamberlain,- - -,332,1143,9,114,110,27,7.4 %,13.3 %,.084,.240,.203,.267,.286,.269,62,-1.3,1002122
J.C. Martin,- - -,908,2446,32,189,230,9,8.2 %,12.2 %,.092,.243,.222,.291,.315,.269,70,-0.4,1008173
Roger Metzger,- - -,1197,4676,5,453,254,83,7.6 %,9.6 %,.061,.257,.231,.291,.293,.269,68,2.1,1008812
Charley Radbourn,- - -,653,2654,9,308,259,26,6.0 %,9.2 %,.045,.258,.235,.283,.281,.269,83,1.8,1010631
Fred Stanley,- - -,683,1906,10,197,120,11,10.3 %,12.7 %,.047,.247,.216,.301,.263,.269,67,0.5,1012411
Bob Melvin,- - -,640,2095,35,174,212,4,4.7 %,18.9 %,.103,.273,.233,.268,.337,.269,66,2.5,1008758
Sam Jones,- - -,713,1489,6,151,99,7,9.3 %,23.2 %,.058,.268,.197,.289,.255,.269,50,3.0,1006589
Dick Billings,- - -,397,1345,16,101,142,6,6.5 %,15.4 %,.076,.259,.227,.281,.304,.268,70,-1.3,1000968
Al Newman,- - -,775,2409,1,264,156,91,9.8 %,8.8 %,.040,.249,.226,.304,.266,.268,61,-0.8,1009539
Jim Levey,Browns,440,1751,11,162,140,23,4.9 %,11.5 %,.075,.256,.230,.272,.305,.268,45,-8.2,1007567
Christy Mathewson,- - -,646,1886,7,151,165,20,6.2 %,10.7 %,.056,.239,.215,.272,.271,.268,65,6.4,1008235
Mickey Grasso,- - -,322,1051,5,78,87,2,7.7 %,10.3 %,.042,.250,.226,.291,.268,.268,54,-1.5,1004956
Curtis Wilkerson,- - -,895,2651,8,272,179,81,5.2 %,15.2 %,.060,.288,.245,.286,.305,.268,62,-1.5,1013951
Joe Dolan,- - -,323,1257,6,140,122,28,5.7 %,6.9 %,.068,.213,.214,.270,.282,.268,55,-1.5,1003363
Fernando Gonzalez,- - -,381,1114,17,85,104,8,5.2 %,10.2 %,.101,.248,.235,.274,.336,.268,67,-2.2,1004832
Marty Martinez,- - -,436,1038,0,97,57,7,6.7 %,10.3 %,.043,.273,.243,.296,.287,.268,70,-1.0,1008181
George Scharein,Phillies,388,1417,2,126,119,28,4.6 %,8.7 %,.054,.263,.240,.277,.294,.268,46,-5.4,1011525
Jack Remsen,- - -,578,2423,8,366,199,14,2.9 %,6.2 %,.073,.262,.244,.266,.317,.268,90,6.4,1010827
Blondy Ryan,- - -,386,1409,8,127,133,6,4.0 %,13.1 %,.065,.272,.239,.271,.304,.268,56,1.0,1011333
